,question
3532,Pseudohypertrophic muscular dystrophy is an inherited disorder that causes gradual deterioration of what?
3533,"Plants obtain their energy from the sun through photosynthesis , what do animals obtain their energy from?"
3534,What type of fibrous joint is found between most bones of the skull?
3535,"Innate behaviors occur in all animals. however, they are less common in species with higher levels of what?"
3536,The periodic table is an arrangement of the elements in order of increasing what?
3537,What type of ions play critical roles in light-dependent reactions?
3538,What moves nitrogen back and forth between the atmosphere and organisms?
3539,What is caused by human actions that releases chemical substances and particles into the air?
3540,"The human body has as many as two trillion lymphocytes, and lymphocytes make up about 25% of all of what?"
3541,What chemical substances are secreted by animals that communicate by odor or taste?
3542,Hydropower is generated with what natural resource?
3543,What are the three types of rocks?
3544,How do yeasts reproduce asexually?
3545,How many chromosomes are in each set?
3546,"Iron is oxidized to fe2+(aq) at an anodic site on the surface of the iron, which is often an impurity or this?"
3547,Each species has a characteristic number of what coiled structures made of dna and proteins?
3548,What is the name for tiny animals that feed on phytoplankton?
3549,"What do marine autotrophs acquire in carbonic acid, its dissolved form?"
3550,"Asexual, sexual, budding, and parthenogenesis are all forms of what?"
3551,"For an exothermic chemical reaction, energy is given off as reactants are converted to what?"
3552,Which is the ultimate energy source in a bear's food chain?
3553,Insect's antennae are useful for sensing what?
3554,"""endocrine"" and ""exocrine"" are two types of what?"
3555,What is the term for the movement of molecules from an area of high concentration to an area of low concentration?
3556,What factors determine the effect of a gene?
3557,What type of craniates have backbones?
3558,What are the most numerous blood cells?
3559,How do autotrophs get food?
3560,"In boys, what hormone stimulates the growth of the larynx and thickening and lengthening of the vocal folds, which causes the voice to drop in pitch during puberty?"
3561,What is an ionic compound that produces negative hydroxide ions when dissolved in water
3562,What is the name for the disease in which cells divide out of control?
3563,"The period immediately following the transmission of an impulse in a nerve or muscle, in which a neuron or muscle cell regains its ability to transmit another impulse, is called the ______ period."
3564,What kinds of neutron stars emit radiation in pulses?
3565,What is the change in behavior based on experience?
3566,Competition with what emerging animal group may have led to extinction of cynodonts about 200 million years ago?
3567,"Within a bud, what is spaced close together because the internodes are very short?"
3568,What controls the opening to the airway and gut?
3569,"When there is no mass in a volume of space, the space is not what?"
3570,Cells selective for different odorants are interspersed in what anatomical cavity?
3571,What has revolutionized human society over the past several decades?
3572,"What do you call the set of seventeen chemical elements possessing particular importance for a variety of industrial processes, used frequently in modern technology?"
3573,"Broca’s area, responsible for the production of language or controlling movements responsible for speech, is nearly always located on what side of the brain?"
3574,"Which theory is the idea that the characteristics of living organisms are controlled by genes, which are passed from parents to their offspring?"
3575,"Phylum chordata consists of two subphyla of invertebrates, as well as the hagfishes and what else?"
3576,What forms when nitrogen and oxygen combine at high temperatures?
3577,The posterior end of a typical rib is called what?
3578,What is the name of the process in which solid food waste is passed out of the body?
3579,The epidermis consists mainly of what type of cells?
3580,What is the microtubule-organizing center found near the nuclei of animal cells?
3581,Glucose and fructose are considered this type of sugar?
3582,How many orders can flying birds be divided into?
3583,Two types of interference found in waves are constructive and what else?
3584,What is the name of the tube that carries sperm from the epididymis to the urethra?
3585,"What effect occurs when a population suddenly gets much smaller, due to natural disaster or other cause?"
3586,Matching donor and recipient blood types is important because different blood types have different types of what?
3587,Heavily vegetated lands are less likely to experience what?
3588,"Unlike fibrous or cartilaginous joints, the articulating bone surfaces at what joint type are not directly connected to each other with fibrous connective tissue or cartilage?"
3589,What do you call the relationship in which members of one species consume members of another species?
3590,"In vertebrates, a system of what structures attached to the endoskeleton enables movement?"
3591,What does the central cell develop into after double fertilization?
3592,What device is an electrochemical cell or series of cells that produces an electric current?
3593,Where does digestion begin?
3594,"What kind of joints are capable of a wide range of movements, classified as gliding, angular, rotational, or special?"
3595,Hormones vary widely in molecular size and type as well as?
3596,What kingdom of organisms constitutes up to 20 percent of all living things on earth in mass?
3597,Scientists often classify or organize different objects based on their what?
3598,"The primary substance that human cells, and ultimately human beings, are made up of is what?"
3599,"The genetic code is universal, unambiguous, and what else?"
3600,An electromagnetic wave begins with what movement by an electrically charged particle?
3601,What are the sharp projections that specialized cells grow called?
3602,What is formed when water vapor in the air condenses into tiny droplets?
3603,"The main components of the circulatory system are the heart, blood vessels, and what else?"
3604,From what do tubeworms found deep in the galapagos rift get their energy from?
3605,What is water falling from the sky called?
3606,"Coal, oil and natural gas are types of what formed from the remains of once living organisms?"
3607,"In a hot water heater, burning fuel causes the water to get hot because combustion is what type of reaction?"
3608,What is a force that opposes motion?
3609,What is another term for a hand lens?
3610,The anterior half of the foot is formed by the five what type of bones?
3611,What adjective describes the movements that propel the feces during elimination?
3612,What is transferred in an acid-base reaction
3613,What is the largest planet in our solar system?
3614,What does the ubiquitous generator use to generate currents?
3615,What prevents soil erosion on a hillside that is being farmed?
3616,What do the external female reproductive structures are collectively referred to?
3617,What is another name for collar cells?
3618,What involuntary muscle is found only in the heart?
3619,Most sedimentary rocks form from what?
3620,What system serves as the relay between the cns and the internal organs?
3621,"When pumping blood, the hearts of animals with very long necks must overcome what force?"
3622,The seasonal movements of animals from one area to another is referred to as?
3623,Falling onto what joint can fracture the distal humerus?
3624,What term is used to describe the energy reserve carbohydrate of animals?
3625,What is used to measure current through a resistor?
3626,"When struck, how are the rigid crystals of ionic compounds likely to react?"
3627,What type of matter transmits light without scattering it?
3628,What is the term for the unconscious movements controlled by the somatic nervous system?
3629,What organism captures light energy and converts it to chemical energy inside its cell?
3630,"By applying salt to an icy road, the melting point of the ice is what?"
3631,How many pairs of chromosomes do human have ?
3632,Where do polychaetes live?
3633,What term describes a gene or sequence on a chromosome that co-segregates (shows genetic linkage) with a specific trait?
3634,What type of blood vessels carry blood away from the heart?
3635,How many millions of years ago did pangaea begin breaking apart?
3636,Continental drift also promotes what speciation?
3637,Which kind of mutations have the most dramatic effect on proteins?
3638,When skunks are in danger what do they give off?
3639,What kind of reproduction produces genetically identical organisms or clones?
3640,Oceans help control global warming by absorbing what?
3641,A phase diagram plots temperature and what else?
3642,What kind of hormones are derived from cholesterol?
3643,Eukaryotic cell division involves mitosis and what?
3644,Why do sodium and chloride ions attract each other?
3645,"What layer of soil, essential for farming, has the highest proportion of organic material?"
3646,What are the organized instructions within dna for making proteins called?
3647,"Macrophages, which can swallow and destroy old and dying cells, bacteria, or viruses, are large types of what cells?"
3648,What is the distance between the nuclei of two identical atoms bonded together called?
3649,What is the term for water that contains one or more dissolved substances?
3650,Gall bladder removal surgery does not seriously affect digestion because ______ is still being produced.
3651,The hepatitis virus attacks only cells of what organ?
3652,"A rusty bike has been left outside in damp weather too many times, so the iron in the metal parts have?"
3653,What two layers is the skin made of?
3654,What are the three major types of blood vessels?
3655,What is the name of the protective layer of gases that surrounds the earth and blocks harmful rays from the sun?
3656,What are colonies of cells stuck to a surface called?
3657,Trichomoniasis is cause by what type of pathogen?
3658,"An increase in what, across the periodic table, explains why elements go from metals to metalloids and then to nonmetals?"
3659,How many pairs of chromosomes are in the human genome?
3660,What measure is resorted to by people who wish to screen out genetic abnormalities in the fetus?
3661,Who built the first telescope?
3662,Water can be boiled to kill giardia and most other what?
3663,What do you call mixtures of ash and water that travel down river valleys?
3664,Why do homonuclear diatomic molecules have zero dipole moment?
3665,The types of white blood cells that arrive at an inflamed site depend on the nature of what?
3666,In what season are temperature inversions more common?
3667,Are thunderstorms more likely where the ground temperatures are extremely high or extremely low?
3668,What type of diseases in humans are caused by protozoa?
3669,"Shark teeth likely evolved from the jagged scales that cover their skin, called what?"
3670,"In the human ear, sound waves cause the stapes to press against what?"
3671,What is the term for proportion of amount of product actually produced in a chemical reaction versus predicted amount ?
3672,What creates wet and dry zones at different latitudes?
3673,What term is used to describe the total spread of values in a sample?
3674,"Fermentation—of grains to produce beer, and of fruits to produce wine—is an ancient art that humans in most cultures have practiced for how long?"
3675,In which direction does water travel?
3676,The largest population size that can be supported in an area without harming the environment is referred to as what?
3677,What are the smallest particles of elements that maintain their unique properties?
3678,Where does the christmas tree worm live?
3679,"What are biomes that occur where a river, a source of fresh water, meets the ocean called?"
3680,What continuously monitors and repairs its genetic material?
3681,What are the large segments of the earth’s crust that ordinarily move very slowly?
3682,Which process causes rocks at the earth's surface to change form?
3683,"Chemical reactions always involve energy. when methane burns, for example, it releases energy in the form of what?"
3684,Alzheimers disease is associated with memory loss in what group of people?
3685,"What global cycle takes place on, above, and below earth’s surface?"
3686,Why are two different minerals considered different though they have the same chemical composition?
3687,What type of mapping is critical for identifying  the location of genes that cause genetic diseases?
3688,When menstrual periods become less frequent and finally cease; this is called?
3689,What blood protein carries oxygen from the lungs to cells throughout the body?
3690,What is the most abundant element in the universe?
3691,The product of a system’s mass multiplied by its velocity is called what?
3692,"In response to changing environmental conditions, prokaryotic populations can undergo what process in short periods of time?"
3693,What term means the time in which half of the original number of radioactive nuclei in a sample decay?
3694,What is a shortage of water that causes the soil to dry from the surface down called?
3695,What are are segmented invertebrates in phylum annelida called?
3696,What is the connection between the two hemispheres of the brain called?
3697,Banging on a drum is an example of which type of energy?
3698,What do microbes use to make food?
3699,Space telescopes avoid such problems completely since they orbit outside the what?
3700,"Tendons connecting the scapula to the humerus form what, which is the circle of tendons around the shoulder joint?"
3701,The number of particles of a substance in a given volume is known as?
3702,"Potential differences from various voltage sources are necessary in order to create electrical fields, which result in what flow of charge?"
3703,What effect is caused by air moving over the earth's surface as it spins?
3704,The separation of compounds on the basis of their solubilities in a given solvent is known as what?
3705,What is the process by which wind blows to make the  ground surface gets lower and rockier ?
3706,"Because trees add water vapor to air, cutting down forests leads to longer periods of what?"
3707,Some sea anemones establish what kind of relationship with hermit crabs by attaching to the crab’s shell?
3708,"Prokaryotic cells do not have a nucleus but instead generally have a single chromosome, a piece of double-stranded dna located in an area of the cell called the what?"
3709,What measures a fluid’s resistance to flow?
3710,What happens to the wire in a fuse if it's current rating is exceed?
3711,Polar climates include polar and which other kind of tundra?
3712,What disease is given as an example of a sex-linked trait?
3713,What type of feeders are earthworms?
3714,What part of the plant is the main site of photosynthesis?
3715,Aluminosilicates are formed by replacing some of the si atoms in silicates by which atoms?
3716,"In a smoke detector, a battery in the electric circuit creates what between the metal plates?"
3717,Photochemical smog consists mainly of what?
3718,What lizards can change colors based on the color of their surroundings?
3719,"Lipids are organic compounds that consist of carbon, hydrogen, and?"
3720,What do you call the force a machine applies to an object?
3721,"In scientific terms, average acceleration is the rate at which what changes?"
3722,Some atoms are more stable when they gain or lose an electron and form what?
3723,"Like a blanket on a sleeping person, greenhouse gases act as what for the planet?"
3724,What is the process in which a solid changes directly to a gas without going through the liquid state called?
3725,How many forces do objects on earth have acting on them at all times?
3726,How often does sperm develop in humans?
3727,Scientists found that the youngest rocks on the seafloor were where?
3728,The reproductive tissues of male and female humans develop similarly in utero until a low level of the hormone testosterone is released from male what?
3729,"Flatworms have a concentration of nerve tissue in the head end, which was a major step in the evolution of what organ?"
3730,What type of energy travels through matter in wave form?
3731,What speeds up chemical reactions inside cells?
3732,What atmosphere do gills help exchange gas in?
3733,Community interactions are important factors in what?
3734,The end of a pine tree branch bears the male cones that produce what?
3735,One seismogram indicates the distance to the what?
3736,What is the process of creating complementary strands of mrna called?
3737,In ancient egypt gold mines were the property of what?
3738,"The arid environment of a desert, for instance, can quickly deplete an animal of what?"
3739,What type of chemistry is the study of chemicals containing carbon called?
3740,What is the muscular organ shaped like an upside-down pear that has a thick lining of tissues called the endometrium?
3741,What includes all the biotic and abiotic factors in an area and how they interact?
3742,What is used for cooling detectors of infrared telescopes?
3743,What do we call something that pushes or pulls on an object?
3744,Velocity is a vector that has both direction and what?
3745,What are the two classifications for organisms living in water?
3746,Where are hotspot volcanoes commonly found?
3747,"The muscles of the anterior compartment of the lower leg are generally responsible for dorsiflexion, and the muscles of the posterior compartment of the lower leg are generally responsible for this?"
3748,"The presence of what, which acts as a trigger, affects the rate of chemical reaction?"
3749,What do you call the splitting of the nucleus of an atom into two smaller nuclei?
3750,What method is used to map the earth on flat paper?
3751,Water molds mostly live in water or moist?
3752,What is the act of noting or detecting phenomenon through the senses
3753,What two measurements are multiplied to find the area of a rectangle?
3754,What is the term for biologically meaningful dna sequences?
3755,Which common type of diabetes is also known as noninsulin-dependent or adult-onset diabetes?
3756,Recognition of pathogens is a function of what type of response?
3757,"Typically done to find food or mates, what do you call the regular movement of individuals or populations each year during certain seasons?"
3758,What is the vaccine to prevent infection of hpv?
3759,Mineral crystals that form when magma cools are usually _______ than crystals that form when lava cools.
3760,What element makes up the majority of coal?
3761,What do you call a simple machine consisting of a sloping surface that connects lower and higher elevations?
3762,What can be combined with an amine to form an amide?
3763,"There are about 50,000 vertebrate species, and they are placed in how many different classes?"
3764,In which kind of species do open circulatory systems serve additional functions?
3765,Boyle’s law applies to matter which is in what state?
3766,What do we call heated groundwater that erupts from the ground under pressure?
3767,Sensory organs that respond to particular sensory stimuli contain cells called what?
3768,How can we reduce use of energy resources?
3769,About 50% of all animal species died off between the mesozoic and which other era?
3770,Transforming from a caterpillar to a butterfly requires a lot of what?
3771,What two cycles make up the female reproductive cycle?
3772,Uranium is an example of a non-renewable resource used to produce what type of power?
3773,"One of the early signs of cell disease is this ""leaking"" of what into the body cells?"
3774,What does the moving piston in an engine turn?
3775,"What type of chloride is a non-volatile material, but does not dissolve in water?"
3776,"In general, objects expand in all directions as temperature does what?"
3777,"Paddles and hammers are examples of simple machines that increase the distance over which force is applied, while reducing what?"
3778,What two things collide to cause gas pressure?
3779,"Every human cell has the same what, and each cell has thousands of them?"
3780,What are a class of tetrapod vertebrates that produce amniotic eggs called?
3781,What characteristic of reptile eggs allows them to be laid on land instead of in water?
3782,What part of the rainforest commonly has ferns and other ground plants?
3783,The primary function of insulin is to facilitate the uptake of what into body cells?
3784,Spindle fibers form between the centrioles during prophase i of what process?
3785,How many quarks are in each proton and neutron?
3786,What is the year cycle that sunspots occur?
3787,When an unstable nucleus emits radiation and is transformed into the nucleus of other elements this is called?
3788,What is manufactured and added to foods to preserve freshness?
3789,Scientists think that stars and galaxies make up only a small part of the matter in the universe. what is the rest of the matter called?
3790,Why are noninfectious diseases not contagious?
3791,"Organisms that ""love"" acids are known as what?"
3792,Which enzyme is used in step three of the polymerase chain reaction because of it's ability to withstand high temperatures?
3793,What do scientists use to study the deep without going to the seafloor?
3794,The hemisphere that is tilted away from the sun is cooler because it receives less what?
3795,"Like the strings of cello, anything that vibrates produces waves of what?"
3796,The point in the titration at which an indicator changes color is called what?
3797,"On a hot, dry day, plants close their stomata to conserve what?"
3798,What do you call the system of glands that release chemical messenger molecules into the bloodstream?
3799,Reactant concentrations are highest at which part of a reaction?
3800,What happens to the temperature of a system during phase change?
3801,What is the major cause of outdoor air pollution?
3802,Why does a metal spoon heat up quickly when placed in a hot drink?
3803,What does the megaspore mother cell produce after meiosis division?
3804,Synaptic connections can change over time depending on what?
3805,What is the body of a roundworm covered with?
3806,The end of the phospholipid molecule that is polar and attracts water is called what?
3807,What is known as the universal solvent?
3808,Any organism that causes disease is called what?
3809,Electric generators change kinetic energy to what type of energy?
3810,Brown algae are important commodities for what?
3811,What does the large central vacuole do?
3812,What is the ratio of solutes in a solution to a volume of solvent in a solution known as?
3813,What type of rock contains concentrations of valuable minerals?
3814,How many digits do primates have on each extremity?
3815,Dna is normally found within what region of a cell?
3816,Water and carbon dioxide molecules are reactants in what plant process?
3817,Gene therapy is a type of what kind of engineering?
3818,What is mass number?
3819,What rises through solid rocks where conditions are right?
3820,What is the connecting piece of a sperm packed with?
3821,What is a diagram that shows a single way that energy flows throughout an ecosystem?
3822,Different colors of light differ in terms of which important attribute?
3823,Ion drives have low thrust but high what?
3824,"For most waves, energy is proportional to what, a term that describes the height of the wave?"
3825,What are the primary causes of bone fractures?
3826,"Water is polar and has electrically charged ends, so it is attracted to the oppositely charged end of a phospholipid molecule, which is described by what term meaning ""water-loving""?"
3827,What is produced when a base is dissolved in water?
3828,What do mammals conserve heat with?
3829,What is a mutation that changes all or much of a particular chromosome?
3830,"Defined as a difference in electric potential energy, a source of what is required in order to produce an electrical current?"
3831,What hydrocarbons contain only single bonds between carbon atoms?
3832,What is a decrease in the magnitude of the membrane potential?
3833,"Water pollution occurs when chemicals, sewage, trash, or heat enter what?"
3834,"Radioisotopes may vary greatly in their rate of decay, decaying faster if their nuclei are more what?"
3835,Where can composite volcanoes most frequently be found?
3836,"The digestive, excretory, and reproductive systems of amphibians share a body cavity called what?"
3837,Vertebrates are a subphylum of what phylum?
3838,What is the latin name for mercury?
3839,"The brain is said to contain gray matter, while what related structure contains white matter separated into columns?"
3840,What type of behavior occurs naturally in all animals of a given species?
3841,What orbits an atoms' nucleus?
3842,What are the three forms of water as found in nature?
3843,What type of digestion is chewing an example of?
3844,How many major massive extinctions have been since life began on earth?
3845,What tool do scientist's use to show the evolutionary pathways and connections among organisms?
3846,What kind of bonds are there between carbon atoms in saturated fatty acids?
3847,"In winter, water does what, becoming solid and causing hoses to rupture and engine blocks to crack?"
3848,"Unlike archaea and eukaryotes, bacteria have a cell wall made of what?"
3849,What happens to the crust if the moving oceanic crust reaches a deep sea trench?
3850,Polygenic traits are controlled by more than one of these?
3851,What system plays a critical role in the regulation of vascular homeostasis?
3852,How many nonpolar bonds does an oxygen molecule have?
3853,What type of disease occurs when the immune system fails to recognize the body's own molecules?
3854,"What organism is an important pioneer on cleared rock and soil surfaces, such as volcanic flows and burned forests?"
3855,"What hypothetical link between development of herbivores and plant defenses is observed in nature, for instance in seeds that are unsavory to animals?"
3856,The term salt can refer to essentially any of what compounds?
3857,Where is the hypothalamus–pituitary complex located in the body?
3858,Where is the guinea worm a serious problem?
3859,The reaction of calcium oxide with carbon dioxide forms what?
3860,Cilia or flagella structures give protists what ability?
3861,What is characterized by uncontrolled cell division of abnormal cells?
3862,Our global ecological footprint depends on resource use per person and what population factor?
3863,What do all sound waves begin with?
3864,"Animal starch, called glycogen, is stored in the liver and where else?"
3865,Kepler's laws relate to the motion of what?
3866,Colloids are used industrially as what?
3867,What is defined as the temperature plus precipitation of an area over a long period of time?
3868,What manages the material and energy resources of the cell?
3869,What is the midpiece of sperm packed with?
3870,Dry soils are relatively unproductive because plants need a sufficient quantity of liquid water to carry out what process?
3871,"The vitamins and minerals contained in all of the food we consume are important for all of our organ systems. however, there are certain nutrients that affect this?"
3872,What type of plants supplement their mineral nutrition by digesting animals?
3873,Daughter cells divide by what?
3874,Phytochromes regulate many plant responses to what?
3875,Carbon dioxide molecules consist of a central carbon atom bonded to how many oxygen atoms?
3876,Survivorship curves show the distribution of individuals in a population according to what metric?
3877,Electrons are not shared equally between the two atoms in which type of covalent bonds?
3878,What is above each leaf scar?
3879,"Ultimately, the fluid that is lost from the blood vessels is returned through what system?"
3880,What type energy sources emit fewer or no greenhouse gases?
3881,"Stars spend most of their lives on the main sequence, fusing hydrogen into what?"
3882,What is a measure of how hot or cold the air is?
3883,Where are more of an insect's internal organs kept?
3884,What is the measure of kinetic energy of the particles in matter?
3885,What is the name for the tiny air sacs at the end of bronchioles?
3886,What is the source of most of the energy used?
3887,What flows across the membrane resulting in changes in the membrane potential?
3888,The standard reduction potential can be determined by subtracting the standard reduction potential for the reaction occurring at the anode from the standard reduction potential for the reaction occurring at this?
3889,What are proteins made up of?
3890,What proteins synthesized in cells act as catalysts?
3891,What element is the sun mostly made up of?
3892,What shape is the gametophyte in ferns?
3893,What makes sunsets appear red?
3894,Skeletal and muscular are examples of what type of system?
3895,What is the process where light bounces back from surfaces that it cannot pass through?
3896,What are butterflies and bees an example of?
3897,What are clouds that form on the ground called?
3898,What is formed when atoms of different elements bond together?
3899,"Where a cell resides, how it appears, and what it does define its what?"
3900,"What can be defined simply, as a change in position?"
3901,What are mars' moons thought to be?
3902,What is the main greenhouse gas causing global warming?
3903,A goiter is a visible indication of deficiency of what?
3904,Pale skin and reduced eyes in salamanders that live in dark caves are an example of what?
3905,Kidney stones are considered a disease that affects which system?
3906,The concentration of hydrogen ions in a solution is called?
3907,"Within a group, the ionization energy decreases as the size of the atom gets what?"
3908,Temperature can affect what attribute of a siamese cat's coat?
3909,What type of locomotion do humans have?
3910,Which equation improves upon the ideal gas law by adding two terms: one to account for the volume of the gas molecules and another for the attractive forces between them?
3911,What do chemical reactions  need to be activated?
3912,"Compared to thoracic and lumbar types, the cervical type of what structures carry the least amount of body weight?"
3913,Many plants generate root pressure during which phase?
3914,The fuel rods are made of a corrosion-resistant alloy that encases the partially enriched uranium fuel; controlled fission of 235u in the fuel produces heat. water surrounds the fuel rods and moderates this?
3915,Earthquake waves that travel trhough underground rocks in all directions are known as?
3916,What is the final product of the calvin cycle?
3917,What does an electric conductor cross to generate current?
3918,Splitting the nucleus of an atom produces a massive amount of what type of energy?
3919,What are waves that pass a fixed point in a given amount of time called?
3920,"As temperature increases, the solubility of the majority of solid substances does what?"
3921,The process in which animals use visual cues to communicate is known as what?
3922,What state is achieved when the forward and reverse reactions proceed at equal rates?
3923,What are 3 types of light?
3924,What is an interation between organisms or species for the same resources in an enviroment is called?
3925,"What type of organism, including sea stars and sand dollars, is named for their spiny skin?"
3926,What is the term for a disease that is not contagious?
3927,"Red bone marrow, tonsils, spleen, and thymus gland are considered organs of what system?"
3928,What is it called when you touch a charged object to the earth?
3929,What is the basic unit of structure and function of living things?
3930,What are the three types of symbiotic relationships?
3931,What is the name of the major components of cell membranes called?
3932,What organ breaks down excess amino acids and toxins in the blood?
3933,What do wavelengths measure the size of?
3934,Lava flows from a volcano and hardens into what?
3935,What is the term for coiled structures made of dna and proteins?
3936,Archaeans produce what kind of gas as a waste product?
3937,The mole fraction of the solvent is just one minus the mole fraction of what?
3938,"Electromagnetic specturm is the full spectrum of raidant energy, which is energy emitted and transmitted as what?"
3939,"What structures formed of twisted actin chains are found in almost every cell, and are numerous in muscle cells and cells that move by changing shape?"
3940,What impact can plaque in an artery have on the flow of blood?
3941,What type of charge do electrons have?
3942,"Which cells change the accessibility, transcription, or translation of a gene?"
3943,"In eukaryotes, the cell cycle consists of a long preparatory period, called __________ before undergoing cell division."
3944,Some biochemical processes happen via sequences of reactions which are called what?
3945,Deep ocean currents are caused by differences in what property at the top and bottom?
3946,What forms when a glacier scrapes a large hole in the ground?
3947,What is needed to provide cells with the oxygen they need for cellular respiration?
3948,"When magma cools slowly, what texture does it have?"
3949,The calvin cycle is the fancy name for the metabolic pathway that builds what?
3950,The use of mercury-based dental amalgam has gone under question in recent years because of concerns regarding what?
3951,Where does much of the blood that enters the atria flow?
3952,Batteries produce voltage through what type of reaction?
3953,A globe is the best way to make a map of what?
3954,Bond energy is an indication of the amount of energy needed for what to occur?
3955,What causes genetic disorders?
3956,"Located above the stratosphere, what layer is the place where meteors burn up?"
3957,What composition determines both eruption type and volcano type?
3958,In a pedigree what shape symbolizes males?
3959,"Mollusks are probably most closely related to organisms in the phylum annelida , also known as what?"
3960,Which bonds are the strongest of the intermolecular forces?
3961,The community of all of the living and nonliving parts of an environment is known as what?
3962,What is the most common type of volcano?
3963,What is the name of the the most efficient possible engine?
3964,"Carbon monoxide, radon gas, dust and pet dander are sources of what kind of pollution?"
3965,What is the cause of existence of molecular solids and liquids?
3966,"Meningitis, for example, is caused by a viral or bacterial infection of the tissues covering what?"
3967,What doctors specialize in diseases stemming from glandular issues?
3968,_________ are one-celled organisms with a nucleus which cause diseases such as malaria.
3969,Chemical energy is another form of which energy?
3970,Many species secrete a hard external skeleton of what?
3971,What is the most common pattern of dispersion?
3972,Water droplets form when the air reaches 100-percent what?
3973,Any large molecule is referred to as what?
3974,The rocks that are taken from a mine are full of valuable minerals plus rock that isn't valuable. what is this rock called?
3975,Organisms such as goldfish that can tolerate only a relatively narrow range of salinity are referred to as what?
3976,"In a liquid, the particles are still in close contact, so liquids have a definite what?"
3977,What is the transfer of thermal energy between particles of matter that are touching called?
3978,Regularly performing weight-bearing exercise can reduce the risk of what condition that affects bones?
3979,"What do we call structures that have lost their use through evolution, which serve as important evidence of evolution?"
3980,What is the only way of transferring energy that doesn't require matter?
3981,The layers of the atmosphere correspond with what changes with altitude?
3982,What do you call a type of mixture that has the same composition throughout?
3983,What traits do the sponge and tarantula share?
3984,"Organisms are highly organized, coordinated structures that consist of one or more what?"
3985,What do voltmeters measure?
3986,What is the term for body parts that do not serve their original function?
3987,The soil beneath a deciduous forest is called what?
3988,What is composed of a calcium cation and a nitrate anion?
3989,"Not all structural rearrangements of chromosomes produce nonviable, impaired, or infertile individuals. in rare instances, such a change can result in the evolution of what?"
3990,Which molecules in the body holds energy?
3991,What term is used for the difference in the placement of an object from one time to another?
3992,What kind of reasoning involves formulating generalizations inferred from careful observation and the analysis of a large amount of data?
3993,What kind of eruption do scientists think is caused by a very large magma chamber erupting entirely in one catastrophic explosion?
3994,The inside surface of the jejunum is covered with tiny projections called what?
3995,What is the most effective color in interrupting the nighttime portion of the photoperiod?
3996,What glands produce the salty fluid that helps cool the body of many mammals?
3997,What shape is the orbit of a planet?
3998,What term is defined as the area where a species lives and to which it has become adapted?
3999,What do fish have that allow them to “breathe” oxygen in water?
4000,The process in which materials move depending on their heat relative to nearby materials is known as what?
4001,What shape is each face of a tetrahedron?
4002,Glands release what substance into the blood?
4003,What's the process responsible for the presence of oxygen in our atmosphere?
4004,A rise in blood glucose levels triggers the pancreatic release of what hormone?
4005,What do most ecosystems get energy from?
4006,What is the study of viruses called?
4007,What do you call an animal that feeds on other animals?
4008,Most scientists think that ordinary matter is less than half of the total matter in the universe; the remaining part includes what mysterious entity?
4009,What is the term for gases that absorb heat in the atmosphere?
4010,What is the type of cell division that produces gametes called?
4011,What causes halide minerals to form?
4012,"Upon reaching the postsynaptic membrane, what type of chemical messenger binds to and activates a specific receptor?"
4013,What do heterotrophic animals usually consume?
4014,Molecules of gas are rare in what outermost region of the planet's atmosphere?
4015,Why is there very little evaporation in the boreal forests?
4016,"Maltose, lactose, and sucrose are common types of what, which are distinguished by their monosaccharide constituents?"
4017,Amplitude describes what about the wave's crest and trough?
4018,"Overproduction of offspring, combined with limited resources, results in what?"
4019,What laws regulate radiation doses to which people can be exposed?
4020,"Digestive enzymes, including which enzyme, start breaking down starches into sugars?"
4021,"In prokaryotes, what is composed of a single, double-stranded dna molecule in the form of a loop or circle?"
4022,What is formed when nitrogen and sulfur oxides dissolve in rain?
4023,Hydroelectric power harnesses the energy of what?
4024,Hydras and sea anemones are examples of what form?
4025,"Tropical, temperate, continental, and polar are all examples of what?"
4026,"What is a longitudinal, flexible rod located between the digestive tube and the nerve cord?"
4027,"At high altitudes, acclimatization increases red blood cells, so there is more what to help transport the available oxygen?"
4028,What type of systemic response involves lymphocytes?
4029,What was the first object to form in the solar system?
4030,Some materials have negative heats of solution; the dissolution of one of these solutes in water is called?
4031,Where are most white blood cells made?
4032,"Blood flows from the right atrium to the right ventricle, where it is pumped into the what?"
4033,What are the male gametes called?
4034,What in hemoglobin gives red blood cells their red color?
4035,"Alpha, beta and gamma are three types of what?"
4036,Red-green colorblindness is an example of what kind of trait?
4037,What kind of radiation is greatest at the equator and lessens toward the poles?
4038,What are atoms or groups of atoms called which carry and electrical charge?
4039,What are the salts of fatty acids called?
4040,What type of numbers specify the arrangement of electrons in orbitals?
4041,What do atoms become if they lose or gain electrons?
4042,What is the breakdown of unstable elements into stable elements called?
4043,Observations suggest that a force applied to an object is always applied by what?
4044,How much exercise should a person ideally get during a single day?
4045,The electrolysis of what substance produces hydrogen and oxygen gases
4046,What is the shorter loop of the cardiovascular system?
4047,What is the first classification of igneous rocks?
4048,What is the very slow movement of rock and soil down a hillside?
4049,Which type of pressure forces fluid out of the capillary?
4050,What hits the eardrum and causes it to vibrate?
4051,What type of ecologists work to identify and manipulate the processes that most limit recovery of ecosystems from disturbances?
4052,Name the two types of nucleic acids.
4053,Interactions between plants and other organisms result in cycling of chemical nutrients within what?
